"book_id","title","author","genre","published_year","price","stock"
320,"Ergonomic clear-thinking interface","Judith Gutierrez","Fantasy",1950,"5.07",55
272,"Intuitive 4thgeneration intranet","Daniel Gillespie","Mystery",1959,"5.16",79
184,"Enterprise-wide solution-oriented challenge","Megan Jones","Fantasy",1978,"5.25",22
218,"User-friendly tertiary forecast","Malik Stephens","Mystery",1948,"5.36",34
17,"Reduced secondary core","Benjamin Peters","Fantasy",1966,"5.37",45
118,"Profound didactic leverage","Andrew Murphy","Fantasy",2017,"5.52",22
451,"Re-contextualized logistical throughput","Danielle Alvarez","Romance",2009,"5.63",87
379,"Digitized zero-defect access","Angela Stewart","Non-Fiction",1916,"5.70",95
205,"De-engineered attitude-oriented software","Anthony Martin","Fantasy",1990,"5.83",8
352,"Intuitive intermediate paradigm","Scott Bowman MD","Science Fiction",1927,"6.01",97
378,"Future-proofed heuristic function","Samantha Mcclain","Romance",1903,"6.01",0
14,"Re-engineered demand-driven parallelism","Jeremy Hayes","Science Fiction",1933,"6.04",95
173,"Ergonomic foreground Graphic Interface","Patrick Williams","Fiction",1948,"6.07",100
347,"Synergistic exuding website","Angelica Elliott","Mystery",1906,"6.10",86
230,"Optional cohesive methodology","Jerome Lee","Science Fiction",1977,"6.10",59
448,"Digitized uniform Internet solution","Douglas Malone","Mystery",1929,"6.26",70
386,"Synchronized 24/7 analyzer","Dawn Hart","Romance",1944,"6.36",71
113,"Versatile value-added structure","Jackson Hill","Science Fiction",1936,"6.38",76
223,"Virtual holistic Internet solution","Lauren Merritt","Mystery",1944,"6.52",95
6,"Advanced encompassing implementation","Bryan Morgan","Biography",1985,"6.56",2
